prefecture_code,prefecture_name,region_name
1,北海道,北海道
2,青森県,東北地方
3,岩手県,東北地方
4,宮城県,東北地方
5,秋田県,東北地方
6,山形県,東北地方
7,福島県,東北地方
8,茨城県,関東地方
9,栃木県,関東地方
10,群馬県,関東地方
11,埼玉県,関東地方
12,千葉県,関東地方
13,東京都,関東地方
14,神奈川県,関東地方
15,新潟県,中部地方
16,富山県,中部地方
17,石川県,中部地方
18,福井県,中部地方
19,山梨県,中部地方
20,長野県,中部地方
21,岐阜県,中部地方
22,静岡県,中部地方
23,愛知県,中部地方
24,三重県,近畿地方
25,滋賀県,近畿地方
26,京都府,近畿地方
27,大阪府,近畿地方
28,兵庫県,近畿地方
29,奈良県,近畿地方
30,和歌山県,近畿地方
31,鳥取県,中国地方
32,島根県,中国地方
33,岡山県,中国地方
34,広島県,中国地方
35,山口県,中国地方
36,徳島県,四国地方
37,香川県,四国地方
38,愛媛県,四国地方
39,高知県,四国地方
40,福岡県,九州地方
41,佐賀県,九州地方
42,長崎県,九州地方
43,熊本県,九州地方
44,大分県,九州地方
45,宮崎県,九州地方
46,鹿児島県,九州地方
47,沖縄県,九州地方
